miRNA	Estimate	StdError	tValue	pValue	Disease	nRgene
hsa-miR-15a-5p	-0.942571798850454	0.317530505384002	-2.96844486708628	0.00315143629115192	HNSC	CHRM3
hsa-miR-15b-5p	-1.31715584921935	0.23564052300115	-5.589683100529	3.93087422846402e-08	HNSC	CHRM3
hsa-miR-148b-3p	-0.300799511849794	0.124357701201051	-2.4188249617407	0.0159432350453135	HNSC	CHRNB2
hsa-miR-424-5p	-0.199139578141922	0.0266653428970423	-7.46810490721314	3.91564497502439e-13	HNSC	CHRNE
hsa-miR-15a-5p	-0.193042984006933	0.0456630123455077	-4.22755692389016	2.83327816274469e-05	HNSC	CHRNE
hsa-miR-7-5p	-0.287702034714427	0.0819400510906533	-3.51112832961419	0.000488875001356387	HNSC	GABBR1
hsa-miR-182-5p	-0.282987739472004	0.07184875248775	-3.93865905354798	9.42497574154481e-05	HNSC	GABBR1
hsa-miR-424-5p	-0.211944080811611	0.080091804968601	-2.6462642575567	0.00840928185974465	HNSC	GABBR1
hsa-miR-497-5p	-0.449960192338426	0.136748825907206	-3.29041356920867	0.00107497628324186	HNSC	GABBR1
hsa-miR-369-3p	-0.215500148777069	0.0708647796274342	-3.04100499444214	0.00248964611870829	HNSC	GABRB3
hsa-miR-320a	-0.27909828447511	0.0713596727769112	-3.91114860276397	0.000105249074094455	HNSC	GABRP
hsa-miR-27a-3p	-0.166020899075333	0.0764483008584259	-2.1716754618626	0.0303743007329579	HNSC	GABRP
hsa-miR-205-5p	-0.180022480131513	0.0834381452758573	-2.15755610981447	0.031456814296833	HNSC	GLRB
hsa-miR-146a-5p	-0.515289001631334	0.206548452495747	-2.49476089220249	0.0129493736397591	HNSC	GRID1
hsa-miR-146b-5p	-0.502271184401397	0.224982653246698	-2.23248849257123	0.0260570518555146	HNSC	GRID1
hsa-miR-16-5p	-0.366961450518671	0.0792908389230159	-4.62804348526261	4.77384955722825e-06	HNSC	GRIN1
hsa-miR-15b-5p	-0.455801342032239	0.0683501081650883	-6.66862649187514	7.22191368699238e-11	HNSC	GRIN1
hsa-miR-330-5p	-0.166091406852016	0.0536028299242769	-3.0985566822992	0.0020604550588627	HNSC	GRIN1
hsa-miR-194-5p	-0.515512284531232	0.112874723662255	-4.56711890674262	6.42844582757705e-06	HNSC	GRIN2A
hsa-miR-30a-5p	-0.274436027280791	0.106435489036567	-2.57842595326928	0.0102491604008564	HNSC	GRIN2A
hsa-miR-30b-5p	-0.661530953563123	0.207253412627878	-3.19189414145327	0.00151473293843687	HNSC	GRIN2A
hsa-miR-26b-5p	-0.699886289215473	0.246121259864126	-2.84366449936854	0.00466758848208363	HNSC	GRIN2A
hsa-miR-376b-3p	-0.356827602357767	0.176677845190246	-2.01965108853085	0.0440252831738272	HNSC	GRIN2A
hsa-miR-27b-3p	-0.240881893576035	0.0359654896023119	-6.6975841630292	5.99122583450358e-11	HNSC	GRIN2D
hsa-miR-92b-3p	-0.184448402835968	0.0656994533131957	-2.80745719384733	0.00519758096074181	HNSC	GRM2
